Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd7_SG225_211_2_hcp-s-2    2.832    2.803    0.94    2.78    7.667    3    -1.497    1.284    5.105    8.337    0.562    9.33    0.717    2.2    2.105    0.148    this work
AgPd7_SG225_211_2_hcp-t-1    2.832    2.839    0.923    2.607    9.333    3    -2.177    1.304    5.105    8.083    0.809    9.444    0.847    2.11    1.243    0.133    this work
AgPd7_SG225_211_2_hcp-t-2    2.832    2.825    0.94    2.78    9.333    3    -1.62    1.362    5.105    8.337    0.562    9.292    0.803    2.2    1.863    0.134    this work
AgPd7_SG225_211_2_hcp-t-3    2.832    2.818    0.94    2.78    9.333    3    -1.648    1.377    5.105    8.337    0.562    9.271    0.798    2.2    2.098    0.119    this work
AgPd7_SG225_211_2_hcp-t-4    2.832    2.82    0.94    2.78    9.333    3    -1.627    1.38    5.105    8.337    0.562    9.286    0.796    2.2    1.996    0.123    this work
AgPd7_SG225_211_2_top-s-1    2.832    2.869    0.89    2.26    7.0    1    -3.332    0.947    5.105    7.576    1.304    9.825    0.808    1.93    0.088    0.181    this work
AgPd7_SG225_211_2_top-s-2    2.832    2.795    0.94    2.78    7.0    1    -1.408    1.265    5.105    8.337    0.562    9.352    0.704    2.2    1.727    0.169    this work
AgPd7_SG225_211_2_top-s-3    2.832    2.801    0.94    2.78    7.0    1    -1.454    1.226    5.105    8.337    0.562    9.354    0.694    2.2    2.201    0.158    this work
AgPd7_SG225_211_2_top-s-4    2.832    2.795    0.94    2.78    7.0    1    -1.43    1.264    5.105    8.337    0.562    9.362    0.68    2.2    2.039    0.162    this work
AgPd7_SG225_211_2_top-t-1    2.832    2.82    0.94    2.78    9.0    1    -1.59    1.349    5.105    8.337    0.562    9.295    0.79    2.2    1.801    0.14    this work
