Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
NiPt3_SG221_211_2_bridge1-t-1    2.77    2.768    1.04    3.9    9.5    2    -2.072    2.242    5.421    8.959    2.125    8.805    1.225    2.28    1.257    0.12    this work
NiPt3_SG221_211_2_bridge1-t-2    2.77    2.758    0.875    2.53    9.5    2    -1.598    1.834    5.421    8.3    1.641    8.761    1.244    2.095    1.819    0.114    this work
NiPt3_SG221_211_2_bridge2-s    2.77    2.713    0.875    2.53    7.0    2    -1.447    1.638    5.421    8.3    1.641    8.84    1.102    2.095    1.721    0.189    this work
NiPt3_SG221_211_2_bridge2-t-1    2.77    2.752    1.04    3.9    9.0    2    -2.058    2.211    5.421    8.959    2.125    8.801    1.212    2.28    1.348    0.133    this work
NiPt3_SG221_211_2_bridge2-t-2    2.77    2.752    1.04    3.9    9.0    2    -2.058    2.211    5.421    8.959    2.125    8.801    1.212    2.28    1.348    0.133    this work
NiPt3_SG221_211_2_fcc-s-1    2.77    2.752    1.04    3.9    8.333    3    -1.965    2.097    5.421    8.959    2.125    8.842    1.155    2.28    1.329    0.155    this work
NiPt3_SG221_211_2_fcc-s-2    2.77    2.727    0.93    2.987    8.333    3    -1.743    1.943    5.421    8.519    1.802    8.787    1.196    2.157    1.616    0.148    this work
NiPt3_SG221_211_2_fcc-t    2.77    2.767    0.93    2.987    9.667    3    -1.76    1.98    5.421    8.519    1.802    8.777    1.242    2.157    1.601    0.111    this work
NiPt3_SG221_211_2_four-fold-s    2.77    2.744    0.875    2.53    8.5    4    -1.53    1.751    5.421    8.3    1.641    8.803    1.18    2.095    1.724    0.144    this work
NiPt3_SG221_211_2_hcp-s    2.77    2.726    0.93    2.987    7.667    3    -1.651    1.829    5.421    8.519    1.802    8.827    1.139    2.157    1.597    0.17    this work
NiPt3_SG221_211_2_hcp-t-1    2.77    2.756    0.93    2.987    9.333    3    -1.751    1.96    5.421    8.519    1.802    8.775    1.233    2.157    1.662    0.12    this work
NiPt3_SG221_211_2_hcp-t-2    2.77    2.763    1.04    3.9    9.333    3    -2.067    2.232    5.421    8.959    2.125    8.804    1.22    2.28    1.287    0.124    this work
NiPt3_SG221_211_2_top-s-1    2.77    2.676    0.71    1.16    7.0    1    -1.115    1.406    5.421    7.64    1.157    8.757    1.164    1.91    2.152    0.179    this work
NiPt3_SG221_211_2_top-s-2    2.77    2.751    1.04    3.9    7.0    1    -1.78    1.869    5.421    8.959    2.125    8.924    1.041    2.28    1.29    0.199    this work
NiPt3_SG221_211_2_top-t    2.77    2.752    1.04    3.9    9.0    1    -2.058    2.211    5.421    8.959    2.125    8.801    1.212    2.28    1.348    0.133    this work
Pd3Pt_SG221_211_1_bridge1-s-1    2.818    2.8    0.94    2.78    8.0    2    -1.644    1.417    5.258    8.337    0.562    9.271    0.762    2.2    1.959    0.13    this work
Pd3Pt_SG221_211_1_bridge1-s-2    2.818    2.789    0.99    3.34    8.0    2    -1.681    1.571    5.258    8.648    1.344    9.094    0.893    2.24    2.205    0.141    this work
Pd3Pt_SG221_211_1_bridge1-t-1    2.818    2.82    0.94    2.78    9.5    2    -1.76    1.522    5.258    8.337    0.562    9.225    0.835    2.2    1.934    0.109    this work
Pd3Pt_SG221_211_1_bridge1-t-2    2.818    2.809    0.99    3.34    9.5    2    -1.797    1.676    5.258    8.648    1.344    9.048    0.966    2.24    2.18    0.12    this work
Pd3Pt_SG221_211_1_bridge2-s-1    2.818    2.789    0.94    2.78    7.0    2    -1.579    1.348    5.258    8.337    0.562    9.293    0.71    2.2    1.923    0.143    this work
Pd3Pt_SG221_211_1_bridge2-s-2    2.818    2.789    0.94    2.78    7.0    2    -1.579    1.348    5.258    8.337    0.562    9.293    0.71    2.2    1.923    0.143    this work
Pd3Pt_SG221_211_1_bridge2-t    2.818    2.8    0.99    3.34    9.0    2    -1.746    1.64    5.258    8.648    1.344    9.072    0.944    2.24    2.24    0.128    this work
Pd3Pt_SG221_211_1_fcc-s    2.818    2.796    0.973    3.153    8.333    3    -1.691    1.543    5.258    8.544    1.083    9.145    0.866    2.227    2.134    0.133    this work
Pd3Pt_SG221_211_1_fcc-t-1    2.818    2.816    0.973    3.153    9.667    3    -1.801    1.637    5.258    8.544    1.083    9.099    0.93    2.227    2.078    0.113    this work
Pd3Pt_SG221_211_1_fcc-t-2    2.818    2.823    0.94    2.78    9.667    3    -1.777    1.534    5.258    8.337    0.562    9.217    0.843    2.2    1.914    0.106    this work
Pd3Pt_SG221_211_1_four-fold-s-1    2.818    2.809    0.94    2.78    8.5    4    -1.695    1.453    5.258    8.337    0.562    9.247    0.784    2.2    1.898    0.122    this work
Pd3Pt_SG221_211_1_four-fold-s-2    2.818    2.809    0.94    2.78    8.5    4    -1.695    1.453    5.258    8.337    0.562    9.247    0.784    2.2    1.898    0.122    this work
Pd3Pt_SG221_211_1_hcp-s-1    2.818    2.789    0.973    3.153    7.667    3    -1.647    1.497    5.258    8.544    1.083    9.16    0.832    2.227    2.111    0.142    this work
Pd3Pt_SG221_211_1_hcp-s-2    2.818    2.796    0.94    2.78    7.667    3    -1.622    1.394    5.258    8.337    0.562    9.278    0.744    2.2    1.947    0.134    this work
Pd3Pt_SG221_211_1_hcp-t    2.818    2.81    0.973    3.153    9.333    3    -1.768    1.613    5.258    8.544    1.083    9.115    0.915    2.227    2.118    0.119    this work
Pd3Pt_SG221_211_1_top-s    2.818    2.789    0.94    2.78    7.0    1    -1.579    1.348    5.258    8.337    0.562    9.293    0.71    2.2    1.923    0.143    this work
Pd3Pt_SG221_211_1_top-t-1    2.818    2.811    0.94    2.78    9.0    1    -1.709    1.486    5.258    8.337    0.562    9.249    0.813    2.2    1.994    0.117    this work
Pd3Pt_SG221_211_1_top-t-2    2.818    2.789    1.04    3.9    9.0    1    -1.784    1.794    5.258    8.959    2.125    8.895    1.075    2.28    2.486    0.139    this work
Pd3Pt_SG221_211_2_bridge1-s-1    2.818    2.787    0.99    3.34    8.0    2    -1.692    1.531    5.407    8.648    1.344    9.051    0.895    2.24    2.101    0.15    this work
Pd3Pt_SG221_211_2_bridge1-s-2    2.818    2.816    0.94    2.78    8.0    2    -1.652    1.419    5.407    8.337    0.562    9.24    0.769    2.2    1.738    0.134    this work
Pd3Pt_SG221_211_2_bridge1-t-1    2.818    2.825    0.94    2.78    9.5    2    -1.79    1.54    5.407    8.337    0.562    9.173    0.843    2.2    1.739    0.106    this work
Pd3Pt_SG221_211_2_bridge1-t-2    2.818    2.816    0.99    3.34    9.5    2    -1.803    1.666    5.407    8.648    1.344    9.025    0.957    2.24    1.966    0.118    this work
Pd3Pt_SG221_211_2_bridge2-s    2.818    2.788    0.99    3.34    7.0    2    -1.611    1.458    5.407    8.648    1.344    9.076    0.852    2.24    2.018    0.169    this work
Pd3Pt_SG221_211_2_bridge2-t-1    2.818    2.815    0.94    2.78    9.0    2    -1.733    1.492    5.407    8.337    0.562    9.214    0.812    2.2    1.82    0.115    this work
Pd3Pt_SG221_211_2_bridge2-t-2    2.818    2.815    0.94    2.78    9.0    2    -1.733    1.492    5.407    8.337    0.562    9.214    0.812    2.2    1.82    0.115    this work
Pd3Pt_SG221_211_2_fcc-s-1    2.818    2.816    0.94    2.78    8.333    3    -1.679    1.443    5.407    8.337    0.562    9.231    0.783    2.2    1.765    0.128    this work
Pd3Pt_SG221_211_2_fcc-s-2    2.818    2.797    0.973    3.153    8.333    3    -1.706    1.518    5.407    8.544    1.083    9.105    0.867    2.227    2.007    0.138    this work
Pd3Pt_SG221_211_2_fcc-t    2.818    2.822    0.973    3.153    9.667    3    -1.818    1.64    5.407    8.544    1.083    9.06    0.929    2.227    1.863    0.111    this work
Pd3Pt_SG221_211_2_four-fold-s    2.818    2.807    0.99    3.34    8.5    4    -1.735    1.586    5.407    8.648    1.344    9.029    0.92    2.24    1.952    0.139    this work
Pd3Pt_SG221_211_2_hcp-s    2.818    2.797    0.973    3.153    7.667    3    -1.651    1.469    5.407    8.544    1.083    9.122    0.839    2.227    1.952    0.151    this work
Pd3Pt_SG221_211_2_hcp-t-1    2.818    2.816    0.973    3.153    9.333    3    -1.78    1.608    5.407    8.544    1.083    9.088    0.909    2.227    1.917    0.117    this work
Pd3Pt_SG221_211_2_hcp-t-2    2.818    2.822    0.94    2.78    9.333    3    -1.771    1.524    5.407    8.337    0.562    9.187    0.832    2.2    1.766    0.109    this work
Pd3Pt_SG221_211_2_top-s-1    2.818    2.759    1.04    3.9    7.0    1    -1.651    1.57    5.407    8.959    2.125    8.887    0.977    2.28    2.381    0.184    this work
Pd3Pt_SG221_211_2_top-s-2    2.818    2.816    0.94    2.78    7.0    1    -1.57    1.346    5.407    8.337    0.562    9.266    0.727    2.2    1.655    0.153    this work
Pd3Pt_SG221_211_2_top-t    2.818    2.815    0.94    2.78    9.0    1    -1.733    1.492    5.407    8.337    0.562    9.214    0.812    2.2    1.82    0.115    this work
PdPt3_SG221_211_1_bridge1-s-1    2.83    2.794    1.04    3.9    8.0    2    -1.891    1.903    5.672    8.959    2.125    8.93    1.136    2.28    1.806    0.158    this work
PdPt3_SG221_211_1_bridge1-s-2    2.83    2.807    0.99    3.34    8.0    2    -1.818    1.733    5.672    8.648    1.344    9.115    0.989    2.24    1.689    0.141    this work
PdPt3_SG221_211_1_bridge1-t-1    2.83    2.825    1.04    3.9    9.5    2    -2.006    2.0    5.672    8.959    2.125    8.885    1.2    2.28    1.719    0.118    this work
PdPt3_SG221_211_1_bridge1-t-2    2.83    2.838    0.99    3.34    9.5    2    -1.933    1.83    5.672    8.648    1.344    9.07    1.053    2.24    1.602    0.1    this work
PdPt3_SG221_211_1_bridge2-s-1    2.83    2.779    1.04    3.9    7.0    2    -1.799    1.821    5.672    8.959    2.125    8.965    1.087    2.28    1.76    0.183    this work
PdPt3_SG221_211_1_bridge2-s-2    2.83    2.779    1.04    3.9    7.0    2    -1.799    1.821    5.672    8.959    2.125    8.965    1.087    2.28    1.76    0.183    this work
PdPt3_SG221_211_1_bridge2-t    2.83    2.822    0.99    3.34    9.0    2    -1.91    1.815    5.672    8.648    1.344    9.081    1.038    2.24    1.734    0.116    this work
PdPt3_SG221_211_1_fcc-s    2.83    2.808    1.007    3.527    8.333    3    -1.873    1.817    5.672    8.752    1.604    9.042    1.054    2.253    1.743    0.138    this work
PdPt3_SG221_211_1_fcc-t-1    2.83    2.839    1.007    3.527    9.667    3    -1.965    1.891    5.672    8.752    1.604    9.004    1.107    2.253    1.597    0.101    this work
PdPt3_SG221_211_1_fcc-t-2    2.83    2.83    1.04    3.9    9.667    3    -2.013    2.005    5.672    8.959    2.125    8.881    1.205    2.28    1.674    0.113    this work
PdPt3_SG221_211_1_four-fold-s-1    2.83    2.81    1.04    3.9    8.5    4    -1.913    1.918    5.672    8.959    2.125    8.919    1.151    2.28    1.673    0.143    this work
PdPt3_SG221_211_1_four-fold-s-2    2.83    2.81    1.04    3.9    8.5    4    -1.913    1.918    5.672    8.959    2.125    8.919    1.151    2.28    1.673    0.143    this work
PdPt3_SG221_211_1_hcp-s-1    2.83    2.798    1.007    3.527    7.667    3    -1.812    1.762    5.672    8.752    1.604    9.065    1.022    2.253    1.713    0.155    this work
PdPt3_SG221_211_1_hcp-s-2    2.83    2.789    1.04    3.9    7.667    3    -1.86    1.876    5.672    8.959    2.125    8.942    1.12    2.28    1.791    0.167    this work
PdPt3_SG221_211_1_hcp-t    2.83    2.828    1.007    3.527    9.333    3    -1.95    1.881    5.672    8.752    1.604    9.012    1.097    2.253    1.685    0.111    this work
PdPt3_SG221_211_1_top-s    2.83    2.779    1.04    3.9    7.0    1    -1.799    1.821    5.672    8.959    2.125    8.965    1.087    2.28    1.76    0.183    this work
PdPt3_SG221_211_1_top-t-1    2.83    2.809    1.04    3.9    9.0    1    -1.983    1.985    5.672    8.959    2.125    8.896    1.185    2.28    1.851    0.133    this work
PdPt3_SG221_211_1_top-t-2    2.83    2.835    0.94    2.78    9.0    1    -1.837    1.645    5.672    8.337    0.562    9.265    0.89    2.2    1.617    0.098    this work
PdPt3_SG221_211_2_bridge1-s-1    2.83    2.812    0.99    3.34    8.0    2    -1.826    1.728    5.523    8.648    1.344    9.052    0.972    2.24    1.694    0.131    this work
PdPt3_SG221_211_2_bridge1-s-2    2.83    2.785    1.04    3.9    8.0    2    -1.898    1.918    5.523    8.959    2.125    8.887    1.115    2.28    1.856    0.147    this work
PdPt3_SG221_211_2_bridge1-t-1    2.83    2.82    1.04    3.9    9.5    2    -1.993    1.995    5.523    8.959    2.125    8.859    1.181    2.28    1.748    0.119    this work
PdPt3_SG221_211_2_bridge1-t-2    2.83    2.832    0.99    3.34    9.5    2    -1.949    1.841    5.523    8.648    1.344    9.022    1.048    2.24    1.707    0.103    this work
PdPt3_SG221_211_2_bridge2-s    2.83    2.791    0.99    3.34    7.0    2    -1.762    1.656    5.523    8.648    1.344    9.075    0.918    2.24    1.711    0.147    this work
PdPt3_SG221_211_2_bridge2-t-1    2.83    2.806    1.04    3.9    9.0    2    -1.962    1.99    5.523    8.959    2.125    8.863    1.169    2.28    1.839    0.131    this work
PdPt3_SG221_211_2_bridge2-t-2    2.83    2.806    1.04    3.9    9.0    2    -1.962    1.99    5.523    8.959    2.125    8.863    1.169    2.28    1.839    0.131    this work
PdPt3_SG221_211_2_fcc-s-1    2.83    2.792    1.04    3.9    8.333    3    -1.92    1.942    5.523    8.959    2.125    8.879    1.133    2.28    1.851    0.142    this work
PdPt3_SG221_211_2_fcc-s-2    2.83    2.81    1.007    3.527    8.333    3    -1.871    1.815    5.523    8.752    1.604    8.989    1.037    2.253    1.743    0.131    this work
PdPt3_SG221_211_2_fcc-t    2.83    2.832    1.007    3.527    9.667    3    -1.974    1.894    5.523    8.752    1.604    8.966    1.096    2.253    1.69    0.104    this work
PdPt3_SG221_211_2_four-fold-s    2.83    2.818    0.99    3.34    8.5    4    -1.871    1.751    5.523    8.648    1.344    9.046    0.989    2.24    1.663    0.119    this work
PdPt3_SG221_211_2_hcp-s    2.83    2.796    1.007    3.527    7.667    3    -1.829    1.767    5.523    8.752    1.604    9.005    1.002    2.253    1.754    0.142    this work
PdPt3_SG221_211_2_hcp-t-1    2.83    2.823    1.007    3.527    9.333    3    -1.953    1.891    5.523    8.752    1.604    8.969    1.088    2.253    1.751    0.113    this work
PdPt3_SG221_211_2_hcp-t-2    2.83    2.815    1.04    3.9    9.333    3    -1.983    1.994    5.523    8.959    2.125    8.86    1.177    2.28    1.778    0.123    this work
PdPt3_SG221_211_2_top-s-1    2.83    2.818    0.94    2.78    7.0    1    -1.69    1.465    5.523    8.337    0.562    9.241    0.775    2.2    1.549    0.13    this work
PdPt3_SG221_211_2_top-s-2    2.83    2.764    1.04    3.9    7.0    1    -1.835    1.846    5.523    8.959    2.125    8.91    1.062    2.28    1.872    0.163    this work
PdPt3_SG221_211_2_top-t    2.83    2.806    1.04    3.9    9.0    1    -1.962    1.99    5.523    8.959    2.125    8.863    1.169    2.28    1.839    0.131    this work
Pt3Rh_SG221_211_1_bridge1-s-1    2.811    2.779    1.04    3.9    8.0    2    -2.039    2.001    5.642    8.959    2.125    8.788    1.128    2.28    1.595    0.156    this work
Pt3Rh_SG221_211_1_bridge1-s-2    2.811    2.769    1.015    3.61    8.0    2    -1.652    2.069    5.642    8.209    1.634    8.364    1.18    2.28    2.201    0.16    this work
Pt3Rh_SG221_211_1_bridge1-t-1    2.811    2.812    1.04    3.9    9.5    2    -2.16    2.096    5.642    8.959    2.125    8.755    1.188    2.28    1.554    0.112    this work
Pt3Rh_SG221_211_1_bridge1-t-2    2.811    2.802    1.015    3.61    9.5    2    -1.773    2.164    5.642    8.209    1.634    8.331    1.24    2.28    2.16    0.115    this work
Pt3Rh_SG221_211_1_bridge2-s-1    2.811    2.762    1.04    3.9    7.0    2    -1.955    1.911    5.642    8.959    2.125    8.815    1.088    2.28    1.535    0.184    this work
Pt3Rh_SG221_211_1_bridge2-s-2    2.811    2.762    1.04    3.9    7.0    2    -1.955    1.911    5.642    8.959    2.125    8.815    1.088    2.28    1.535    0.184    this work
Pt3Rh_SG221_211_1_bridge2-t    2.811    2.786    1.015    3.61    9.0    2    -1.736    2.159    5.642    8.209    1.634    8.338    1.221    2.28    2.261    0.132    this work
Pt3Rh_SG221_211_1_fcc-s    2.811    2.778    1.023    3.707    8.333    3    -1.809    2.077    5.642    8.459    1.798    8.497    1.176    2.28    2.019    0.149    this work
Pt3Rh_SG221_211_1_fcc-t-1    2.811    2.811    1.023    3.707    9.667    3    -1.914    2.143    5.642    8.459    1.798    8.47    1.229    2.28    1.925    0.109    this work
Pt3Rh_SG221_211_1_fcc-t-2    2.811    2.817    1.04    3.9    9.667    3    -2.173    2.098    5.642    8.959    2.125    8.753    1.194    2.28    1.52    0.106    this work
Pt3Rh_SG221_211_1_four-fold-s-1    2.811    2.795    1.04    3.9    8.5    4    -2.076    2.006    5.642    8.959    2.125    8.782    1.147    2.28    1.494    0.139    this work
Pt3Rh_SG221_211_1_four-fold-s-2    2.811    2.795    1.04    3.9    8.5    4    -2.076    2.006    5.642    8.959    2.125    8.782    1.147    2.28    1.494    0.139    this work
Pt3Rh_SG221_211_1_hcp-s-1    2.811    2.767    1.023    3.707    7.667    3    -1.753    2.017    5.642    8.459    1.798    8.515    1.149    2.28    1.979    0.168    this work
Pt3Rh_SG221_211_1_hcp-s-2    2.811    2.773    1.04    3.9    7.667    3    -2.011    1.971    5.642    8.959    2.125    8.797    1.115    2.28    1.575    0.165    this work
Pt3Rh_SG221_211_1_hcp-t    2.811    2.8    1.023    3.707    9.333    3    -1.89    2.14    5.642    8.459    1.798    8.474    1.216    2.28    1.992    0.12    this work
Pt3Rh_SG221_211_1_top-s    2.811    2.762    1.04    3.9    7.0    1    -1.955    1.911    5.642    8.959    2.125    8.815    1.088    2.28    1.535    0.184    this work
Pt3Rh_SG221_211_1_top-t-1    2.811    2.796    1.04    3.9    9.0    1    -2.124    2.091    5.642    8.959    2.125    8.761    1.169    2.28    1.655    0.129    this work
Pt3Rh_SG221_211_1_top-t-2    2.811    2.777    0.99    3.32    9.0    1    -1.349    2.227    5.642    7.459    1.143    7.914    1.272    2.28    2.868    0.136    this work
Pt3Rh_SG221_211_2_bridge1-s-1    2.811    2.773    1.015    3.61    8.0    2    -1.662    2.018    5.499    8.209    1.634    8.366    1.143    2.28    2.113    0.168    this work
Pt3Rh_SG221_211_2_bridge1-s-2    2.811    2.784    1.04    3.9    8.0    2    -2.025    1.971    5.499    8.959    2.125    8.774    1.108    2.28    1.582    0.173    this work
Pt3Rh_SG221_211_2_bridge1-t-1    2.811    2.809    1.04    3.9    9.5    2    -2.163    2.083    5.499    8.959    2.125    8.722    1.17    2.28    1.565    0.113    this work
Pt3Rh_SG221_211_2_bridge1-t-2    2.811    2.805    1.015    3.61    9.5    2    -1.715    2.165    5.499    8.209    1.634    8.319    1.23    2.28    2.109    0.124    this work
Pt3Rh_SG221_211_2_bridge2-s    2.811    2.763    1.015    3.61    7.0    2    -1.557    1.926    5.499    8.209    1.634    8.4    1.089    2.28    2.02    0.212    this work
Pt3Rh_SG221_211_2_bridge2-t-1    2.811    2.795    1.04    3.9    9.0    2    -2.13    2.063    5.499    8.959    2.125    8.741    1.162    2.28    1.675    0.13    this work
Pt3Rh_SG221_211_2_bridge2-t-2    2.811    2.795    1.04    3.9    9.0    2    -2.13    2.063    5.499    8.959    2.125    8.741    1.162    2.28    1.675    0.13    this work
Pt3Rh_SG221_211_2_fcc-s-1    2.811    2.787    1.04    3.9    8.333    3    -2.06    2.002    5.499    8.959    2.125    8.763    1.126    2.28    1.613    0.159    this work
Pt3Rh_SG221_211_2_fcc-s-2    2.811    2.781    1.023    3.707    8.333    3    -1.818    2.033    5.499    8.459    1.798    8.491    1.15    2.28    1.967    0.156    this work
Pt3Rh_SG221_211_2_fcc-t    2.811    2.812    1.023    3.707    9.667    3    -1.876    2.144    5.499    8.459    1.798    8.447    1.213    2.28    1.891    0.114    this work
Pt3Rh_SG221_211_2_four-fold-s    2.811    2.791    1.015    3.61    8.5    4    -1.653    2.056    5.499    8.209    1.634    8.35    1.164    2.28    2.01    0.159    this work
Pt3Rh_SG221_211_2_hcp-s    2.811    2.773    1.023    3.707    7.667    3    -1.748    1.972    5.499    8.459    1.798    8.514    1.114    2.28    1.905    0.185    this work
Pt3Rh_SG221_211_2_hcp-t-1    2.811    2.802    1.023    3.707    9.333    3    -1.854    2.131    5.499    8.459    1.798    8.46    1.207    2.28    1.964    0.126    this work
Pt3Rh_SG221_211_2_hcp-t-2    2.811    2.804    1.04    3.9    9.333    3    -2.152    2.076    5.499    8.959    2.125    8.728    1.167    2.28    1.602    0.118    this work
Pt3Rh_SG221_211_2_top-s-1    2.811    2.752    0.99    3.32    7.0    1    -1.194    1.974    5.499    7.459    1.143    7.992    1.125    2.28    2.551    0.207    this work
Pt3Rh_SG221_211_2_top-s-2    2.811    2.773    1.04    3.9    7.0    1    -1.92    1.879    5.499    8.959    2.125    8.808    1.054    2.28    1.488    0.217    this work
Pt3Rh_SG221_211_2_top-t    2.811    2.795    1.04    3.9    9.0    1    -2.13    2.063    5.499    8.959    2.125    8.741    1.162    2.28    1.675    0.13    this work
Pt7Rh_SG225_211_1_bridge1-s-1    2.825    2.788    1.04    3.9    8.0    2    -2.011    1.997    5.697    8.959    2.125    8.731    1.137    2.28    1.612    0.154    this work
Pt7Rh_SG225_211_1_bridge1-s-2    2.825    2.791    1.04    3.9    8.0    2    -1.998    1.991    5.697    8.959    2.125    8.756    1.137    2.28    1.575    0.153    this work
Pt7Rh_SG225_211_1_bridge1-s-3    2.825    2.792    1.04    3.9    8.0    2    -1.986    1.977    5.697    8.959    2.125    8.725    1.12    2.28    1.691    0.152    this work
Pt7Rh_SG225_211_1_bridge1-s-4    2.825    2.78    1.015    3.61    8.0    2    -1.625    2.02    5.697    8.209    1.634    8.311    1.169    2.28    2.321    0.156    this work
Pt7Rh_SG225_211_1_bridge1-t-1    2.825    2.825    1.04    3.9    9.5    2    -2.109    2.083    5.697    8.959    2.125    8.692    1.2    2.28    1.59    0.114    this work
Pt7Rh_SG225_211_1_bridge1-t-2    2.825    2.828    1.04    3.9    9.5    2    -2.096    2.077    5.697    8.959    2.125    8.717    1.2    2.28    1.553    0.113    this work
Pt7Rh_SG225_211_1_bridge1-t-3    2.825    2.823    1.04    3.9    9.5    2    -2.114    2.073    5.697    8.959    2.125    8.673    1.178    2.28    1.544    0.111    this work
Pt7Rh_SG225_211_1_bridge1-t-4    2.825    2.81    1.015    3.61    9.5    2    -1.752    2.116    5.697    8.209    1.634    8.259    1.226    2.28    2.174    0.114    this work
Pt7Rh_SG225_211_1_bridge2-s-1    2.825    2.767    1.04    3.9    7.0    2    -1.944    1.91    5.697    8.959    2.125    8.771    1.088    2.28    1.512    0.174    this work
Pt7Rh_SG225_211_1_bridge2-s-2    2.825    2.767    1.04    3.9    7.0    2    -1.944    1.91    5.697    8.959    2.125    8.771    1.088    2.28    1.512    0.174    this work
Pt7Rh_SG225_211_1_bridge2-s-3    2.825    2.777    1.04    3.9    7.0    2    -1.898    1.89    5.697    8.959    2.125    8.784    1.079    2.28    1.713    0.18    this work
Pt7Rh_SG225_211_1_bridge2-s-4    2.825    2.777    1.04    3.9    7.0    2    -1.898    1.89    5.697    8.959    2.125    8.784    1.079    2.28    1.713    0.18    this work
Pt7Rh_SG225_211_1_bridge2-t-1    2.825    2.812    1.04    3.9    9.0    2    -2.066    2.079    5.697    8.959    2.125    8.717    1.186    2.28    1.675    0.132    this work
Pt7Rh_SG225_211_1_bridge2-t-2    2.825    2.795    1.015    3.61    9.0    2    -1.713    2.107    5.697    8.209    1.634    8.252    1.209    2.28    2.299    0.128    this work
Pt7Rh_SG225_211_1_fcc-s-1    2.825    2.797    1.04    3.9    8.333    3    -2.025    2.022    5.697    8.959    2.125    8.735    1.153    2.28    1.621    0.146    this work
Pt7Rh_SG225_211_1_fcc-s-2    2.825    2.789    1.023    3.707    8.333    3    -1.775    2.035    5.697    8.459    1.798    8.429    1.166    2.28    2.103    0.145    this work
Pt7Rh_SG225_211_1_fcc-t-1    2.825    2.833    1.04    3.9    9.667    3    -2.11    2.079    5.697    8.959    2.125    8.709    1.205    2.28    1.525    0.107    this work
Pt7Rh_SG225_211_1_fcc-t-2    2.825    2.831    1.04    3.9    9.667    3    -2.119    2.083    5.697    8.959    2.125    8.692    1.205    2.28    1.549    0.108    this work
Pt7Rh_SG225_211_1_fcc-t-3    2.825    2.82    1.023    3.707    9.667    3    -1.886    2.104    5.697    8.459    1.798    8.4    1.216    2.28    1.923    0.108    this work
Pt7Rh_SG225_211_1_fcc-t-4    2.825    2.828    1.04    3.9    9.667    3    -2.127    2.076    5.697    8.959    2.125    8.676    1.183    2.28    1.503    0.106    this work
Pt7Rh_SG225_211_1_four-fold-s-1    2.825    2.803    1.04    3.9    8.5    4    -2.048    1.995    5.697    8.959    2.125    8.726    1.141    2.28    1.466    0.135    this work
Pt7Rh_SG225_211_1_four-fold-s-2    2.825    2.803    1.04    3.9    8.5    4    -2.048    1.995    5.697    8.959    2.125    8.726    1.141    2.28    1.466    0.135    this work
Pt7Rh_SG225_211_1_four-fold-s-3    2.825    2.81    1.04    3.9    8.5    4    -2.018    1.986    5.697    8.959    2.125    8.738    1.146    2.28    1.59    0.137    this work
Pt7Rh_SG225_211_1_four-fold-s-4    2.825    2.81    1.04    3.9    8.5    4    -2.018    1.986    5.697    8.959    2.125    8.738    1.146    2.28    1.59    0.137    this work
Pt7Rh_SG225_211_1_hcp-s-1    2.825    2.783    1.04    3.9    7.667    3    -1.98    1.964    5.697    8.959    2.125    8.761    1.121    2.28    1.554    0.16    this work
Pt7Rh_SG225_211_1_hcp-s-2    2.825    2.781    1.04    3.9    7.667    3    -1.989    1.968    5.697    8.959    2.125    8.744    1.121    2.28    1.579    0.161    this work
Pt7Rh_SG225_211_1_hcp-s-3    2.825    2.779    1.023    3.707    7.667    3    -1.716    1.976    5.697    8.459    1.798    8.469    1.139    2.28    2.118    0.164    this work
Pt7Rh_SG225_211_1_hcp-s-4    2.825    2.787    1.04    3.9    7.667    3    -1.957    1.948    5.697    8.959    2.125    8.745    1.106    2.28    1.698    0.162    this work
Pt7Rh_SG225_211_1_hcp-t-1    2.825    2.822    1.04    3.9    9.333    3    -2.09    2.08    5.697    8.959    2.125    8.709    1.195    2.28    1.606    0.12    this work
Pt7Rh_SG225_211_1_hcp-t-2    2.825    2.809    1.023    3.707    9.333    3    -1.86    2.099    5.697    8.459    1.798    8.395    1.204    2.28    2.006    0.118    this work
Pt7Rh_SG225_211_1_top-s-1    2.825    2.767    1.04    3.9    7.0    1    -1.944    1.91    5.697    8.959    2.125    8.771    1.088    2.28    1.512    0.174    this work
Pt7Rh_SG225_211_1_top-s-2    2.825    2.777    1.04    3.9    7.0    1    -1.898    1.89    5.697    8.959    2.125    8.784    1.079    2.28    1.713    0.18    this work
Pt7Rh_SG225_211_1_top-t-1    2.825    2.809    1.04    3.9    9.0    1    -2.079    2.085    5.697    8.959    2.125    8.691    1.186    2.28    1.712    0.134    this work
Pt7Rh_SG225_211_1_top-t-2    2.825    2.815    1.04    3.9    9.0    1    -2.053    2.073    5.697    8.959    2.125    8.742    1.186    2.28    1.639    0.131    this work
Pt7Rh_SG225_211_1_top-t-3    2.825    2.808    1.04    3.9    9.0    1    -2.074    2.065    5.697    8.959    2.125    8.666    1.161    2.28    1.669    0.125    this work
