Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
CH_Ag@Cu_211_hcp-t-2    2.953    2.603    2.591    0.67    1.0    9.333    3    -2.427    1.088    4.685    7.726    1.236    9.734    1.257    1.9    0.105    0.24    10.1021/acscatal.8b04478
CH_AgAu_211_bridge2-s-1    4.256    2.973    2.941    0.95    2.805    7.0    2    -3.514    1.131    4.839    8.401    1.807    9.79    1.114    2.235    0.053    0.268    10.1021/acscatal.8b04478
CH_AgAu_211_fcc-s-1    3.972    2.973    2.965    0.93    2.623    8.333    3    -3.679    1.18    4.839    8.126    1.639    9.786    1.136    2.133    0.056    0.239    10.1021/acscatal.8b04478
CH_AgAu_211_fcc-s-2    3.543    2.973    2.954    0.97    2.987    8.333    3    -3.482    1.262    4.839    8.676    1.974    9.754    1.223    2.337    0.066    0.268    10.1021/acscatal.8b04478
CH_AgAu_211_fcc-t-2    4.118    2.973    2.978    0.93    2.623    9.667    3    -3.756    1.257    4.839    8.126    1.639    9.764    1.201    2.133    0.06    0.228    10.1021/acscatal.8b04478
CH_AgAu_211_four-fold-s-1    3.809    2.973    2.961    0.95    2.805    8.5    4    -3.602    1.221    4.839    8.401    1.807    9.765    1.185    2.235    0.061    0.25    10.1021/acscatal.8b04478
CH_AgAu_211_four-fold-s-2    3.624    2.973    2.961    0.95    2.805    8.5    4    -3.602    1.221    4.839    8.401    1.807    9.765    1.185    2.235    0.061    0.25    10.1021/acscatal.8b04478
CH_AgAu_211_hcp-s-1    3.442    2.973    2.949    0.97    2.987    7.667    3    -3.457    1.215    4.839    8.676    1.974    9.763    1.186    2.337    0.064    0.269    10.1021/acscatal.8b04478
CH_AgAu_211_hcp-s-2    4.052    2.973    2.951    0.93    2.623    7.667    3    -3.638    1.138    4.839    8.126    1.639    9.796    1.107    2.133    0.051    0.253    10.1021/acscatal.8b04478
CH_AgAu_211_hcp-t-1    3.733    2.973    2.969    0.97    2.987    9.333    3    -3.564    1.316    4.839    8.676    1.974    9.74    1.266    2.337    0.072    0.249    10.1021/acscatal.8b04478
CH_AgAu_211_hcp-t-2    4.26    2.973    2.976    0.93    2.623    9.333    3    -3.715    1.246    4.839    8.126    1.639    9.768    1.187    2.133    0.06    0.233    10.1021/acscatal.8b04478
CH_AgPd_211_bridge2-s-1    3.664    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    10.1021/acscatal.8b04478
CH_AgPd_211_bridge2-s-2    3.658    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    10.1021/acscatal.8b04478
CH_AgPd_211_fcc-s-2    2.584    2.883    2.866    0.923    2.607    8.333    3    -2.043    1.254    4.895    8.083    0.809    9.576    0.84    2.11    0.383    0.169    10.1021/acscatal.8b04478
CH_AgPd_211_fcc-t-2    2.519    2.883    2.884    0.923    2.607    9.667    3    -2.113    1.335    4.895    8.083    0.809    9.549    0.9    2.11    0.397    0.153    10.1021/acscatal.8b04478
CH_AgPd_211_four-fold-s-1    2.635    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    10.1021/acscatal.8b04478
CH_AgPd_211_four-fold-s-2    2.641    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    10.1021/acscatal.8b04478
CH_AgPd_211_hcp-s-1    3.474    2.883    2.875    0.907    2.433    7.667    3    -2.732    1.111    4.895    7.83    1.057    9.731    0.856    2.02    0.191    0.184    10.1021/acscatal.8b04478
CH_AgPd_211_hcp-s-2    2.522    2.883    2.866    0.923    2.607    7.667    3    -2.026    1.214    4.895    8.083    0.809    9.584    0.803    2.11    0.379    0.179    10.1021/acscatal.8b04478
CH_AgPd_211_hcp-t-1    2.441    2.883    2.88    0.923    2.607    9.333    3    -2.108    1.318    4.895    8.083    0.809    9.551    0.885    2.11    0.394    0.16    10.1021/acscatal.8b04478
CH_AgPd_211_hcp-t-2    3.469    2.883    2.888    0.907    2.433    9.333    3    -2.807    1.216    4.895    7.83    1.057    9.701    0.94    2.02    0.24    0.155    10.1021/acscatal.8b04478
CH_Au_211_bridge2-s    3.793    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    10.1021/acscatal.8b04478
CH_Au_211_fcc-s    3.319    2.99    2.967    1.01    3.35    8.333    3    -3.182    1.396    5.28    9.226    2.309    9.734    1.254    2.54    0.091    0.242    10.1021/acscatal.8b04478
CH_Au_211_fcc-t    3.594    2.99    2.993    1.01    3.35    9.667    3    -3.283    1.455    5.28    9.226    2.309    9.715    1.303    2.54    0.098    0.22    10.1021/acscatal.8b04478
CH_Au_211_four-fold-s    3.568    2.99    2.967    1.01    3.35    8.5    4    -3.223    1.395    5.28    9.226    2.309    9.718    1.257    2.54    0.088    0.237    10.1021/acscatal.8b04478
CH_Au_211_hcp-s    3.307    2.99    2.951    1.01    3.35    7.667    3    -3.155    1.359    5.28    9.226    2.309    9.734    1.227    2.54    0.085    0.251    10.1021/acscatal.8b04478
CH_Au_211_hcp-t    3.508    2.99    2.988    1.01    3.35    9.333    3    -3.246    1.444    5.28    9.226    2.309    9.724    1.292    2.54    0.098    0.227    10.1021/acscatal.8b04478
CH_Au@Ni_211_bridge2-s-1    2.73    2.502    2.572    0.86    2.255    7.0    2    -2.302    1.599    5.04    8.433    1.733    9.171    1.166    2.225    1.134    0.212    this work
CH_Au@Ni_211_bridge2-s-2    1.885    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    5.04    7.64    1.157    8.768    1.173    1.91    2.065    0.214    10.1021/acscatal.8b04478
CH_Au@Ni_211_fcc-s-2    1.284    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    5.04    7.64    1.157    8.723    1.235    1.91    1.988    0.167    10.1021/acscatal.8b04478
CH_Au@Ni_211_fcc-t-1    1.471    2.502    2.508    0.71    1.16    9.667    3    -1.261    1.864    5.04    7.64    1.157    8.691    1.303    1.91    1.856    0.126    10.1021/acscatal.8b04478
CH_Au@Ni_211_four-fold-s-2    0.903    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    5.04    7.64    1.157    8.741    1.246    1.91    1.953    0.164    10.1021/acscatal.8b04478
CH_Au@Ni_211_hcp-s-2    1.209    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    5.04    7.64    1.157    8.746    1.206    1.91    2.012    0.19    10.1021/acscatal.8b04478
CH_Au@Ni_211_hcp-t-1    1.436    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    10.1021/acscatal.8b04478
CH_Au@Ni_211_hcp-t-2    1.305    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    5.04    7.64    1.157    8.709    1.284    1.91    1.915    0.134    10.1021/acscatal.8b04478
CH_Co_0001_bridge2-s    2.036    2.504    2.464    0.76    1.34    7.0    2    -1.211    1.88    4.819    7.881    0.662    7.65    1.134    1.88    1.116    0.239    this work
CH_Co_0001_bridge3-s    2.077    2.504    2.484    0.76    1.34    8.5    2    -1.223    1.991    4.819    7.881    0.662    7.686    1.217    1.88    1.065    0.189    this work
CH_Co_0001_fcc-s    1.534    2.504    2.472    0.76    1.34    8.333    3    -1.198    1.977    4.819    7.881    0.662    7.696    1.229    1.88    1.103    0.212    this work
CH_Co_0001_fcc-t    1.556    2.504    2.492    0.76    1.34    9.333    3    -1.211    2.051    4.819    7.881    0.662    7.73    1.25    1.88    1.029    0.156    this work
CH_Co_0001_four-fold-s    1.103    2.504    2.484    0.76    1.34    8.5    4    -1.223    1.992    4.819    7.881    0.662    7.68    1.217    1.88    1.065    0.189    this work
CH_Co_0001_hcp-s    1.395    2.504    2.468    0.76    1.34    7.667    3    -1.205    1.929    4.819    7.881    0.662    7.672    1.181    1.88    1.109    0.225    this work
CH_Co_0001_top-s    2.931    2.504    2.464    0.76    1.34    7.0    1    -1.211    1.88    4.819    7.881    0.662    7.654    1.133    1.88    1.116    0.239    this work
CH_Co_211_bridge3-s    2.108    2.509    2.488    0.76    1.34    8.5    2    -1.274    1.99    4.828    7.881    0.662    7.677    1.227    1.88    1.118    0.188    this work
CH_Co_211_fcc-s    1.617    2.509    2.478    0.76    1.34    8.333    3    -1.245    2.002    4.828    7.881    0.662    7.662    1.219    1.88    1.043    0.184    this work
CH_Co_211_four-fold-s    1.167    2.509    2.488    0.76    1.34    8.5    4    -1.272    1.99    4.828    7.881    0.662    7.672    1.227    1.88    1.117    0.188    this work
CH_Co_211_hcp-s    1.407    2.509    2.473    0.76    1.34    7.667    3    -1.251    1.936    4.828    7.881    0.662    7.677    1.181    1.88    1.134    0.213    this work
CH_Co_211_hcp-t    1.556    2.509    2.492    0.76    1.34    9.333    3    -1.256    2.082    4.828    7.881    0.662    7.653    1.276    1.88    0.971    0.148    this work
CH_Co_211_top-s    2.917    2.509    2.468    0.76    1.34    7.0    1    -1.254    1.871    4.828    7.881    0.662    7.68    1.142    1.88    1.224    0.242    this work
CH_Cu_211_bridge2-s    3.456    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    10.1021/acscatal.8b04478
CH_Cu_211_fcc-s    2.817    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    10.1021/acscatal.8b04478
CH_Cu_211_four-fold-s    2.401    2.603    2.577    0.67    1.0    8.5    4    -2.372    1.044    4.719    7.726    1.236    9.714    1.208    1.9    0.097    0.244    10.1021/acscatal.8b04478
CH_Cu_211_hcp-s    2.789    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    10.1021/acscatal.8b04478
CH_Cu_211_hcp-t    2.933    2.603    2.587    0.67    1.0    9.333    3    -2.415    1.122    4.719    7.726    1.236    9.687    1.255    1.9    0.105    0.234    10.1021/acscatal.8b04478
CH_Fe_210_bridge2-t    1.009    2.476    2.492    0.8    1.59    6.0    2    -0.604    2.411    4.43    7.902    0.153    6.649    1.316    1.83    0.647    0.278    this work
CH_Fe_210_bridge3-s    1.894    2.476    2.476    0.8    1.59    5.0    2    -0.695    2.361    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
CH_Fe_210_four-fold-s    0.783    2.476    2.476    0.8    1.59    5.0    4    -0.695    2.36    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
CH_Fe_210_hcp-s    1.201    2.476    2.465    0.8    1.59    4.667    3    -0.737    2.33    4.43    7.902    0.153    6.631    1.229    1.83    0.755    0.266    this work
CH_Fe_210_top-s    2.645    2.476    2.451    0.8    1.59    4.0    1    -0.804    2.29    4.43    7.902    0.153    6.623    1.185    1.83    0.809    0.261    this work
CH_Ir_211_bridge2-s    0.846    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    10.1021/acscatal.8b04478
CH_Ir_211_fcc-s    1.067    2.753    2.709    1.08    4.45    8.333    3    -1.919    2.605    5.489    9.121    1.564    7.721    1.278    2.2    1.354    0.167    10.1021/acscatal.8b04478
CH_Ir_211_fcc-t    1.025    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    10.1021/acscatal.8b04478
CH_Ir_211_four-fold-s    0.859    2.753    2.727    1.08    4.45    8.5    4    -1.846    2.584    5.489    9.121    1.564    7.753    1.272    2.2    1.436    0.178    10.1021/acscatal.8b04478
CH_Ir_211_hcp-s    0.677    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    10.1021/acscatal.8b04478
CH_Ir_211_hcp-t    0.949    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    10.1021/acscatal.8b04478
CH_IrRu_211_bridge2-s-1    1.039    2.737    2.689    1.065    4.16    7.0    2    -1.446    2.214    5.53    8.241    1.305    7.398    1.005    2.2    1.807    0.322    10.1021/acscatal.8b04478
CH_IrRu_211_bridge2-s-2    1.088    2.737    2.689    1.065    4.16    7.0    2    -1.446    2.214    5.53    8.241    1.305    7.398    1.005    2.2    1.807    0.322    10.1021/acscatal.8b04478
CH_IrRu_211_fcc-s-1    1.223    2.737    2.698    1.07    4.257    8.333    3    -1.694    2.404    5.53    8.534    1.391    7.456    1.118    2.2    1.556    0.229    10.1021/acscatal.8b04478
CH_IrRu_211_fcc-s-2    1.211    2.737    2.701    1.06    4.063    8.333    3    -1.531    2.352    5.53    7.948    1.219    7.234    1.027    2.2    1.702    0.184    10.1021/acscatal.8b04478
CH_IrRu_211_fcc-t-1    1.145    2.737    2.725    1.07    4.257    9.667    3    -1.777    2.517    5.53    8.534    1.391    7.43    1.177    2.2    1.283    0.134    10.1021/acscatal.8b04478
CH_IrRu_211_fcc-t-2    1.081    2.737    2.725    1.06    4.063    9.667    3    -1.608    2.455    5.53    7.948    1.219    7.23    1.081    2.2    1.432    0.119    10.1021/acscatal.8b04478
CH_IrRu_211_four-fold-s-1    0.818    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    10.1021/acscatal.8b04478
CH_IrRu_211_four-fold-s-2    0.721    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    10.1021/acscatal.8b04478
CH_IrRu_211_hcp-s-1    0.689    2.737    2.694    1.07    4.257    7.667    3    -1.614    2.327    5.53    8.534    1.391    7.472    1.087    2.2    1.643    0.272    10.1021/acscatal.8b04478
CH_IrRu_211_hcp-s-2    0.76    2.737    2.695    1.06    4.063    7.667    3    -1.445    2.265    5.53    7.948    1.219    7.272    0.991    2.2    1.793    0.256    10.1021/acscatal.8b04478
CH_IrRu_211_hcp-t-1    0.961    2.737    2.716    1.06    4.063    9.333    3    -1.603    2.444    5.53    7.948    1.219    7.23    1.072    2.2    1.521    0.133    10.1021/acscatal.8b04478
CH_IrRu_211_hcp-t-2    0.921    2.737    2.713    1.07    4.257    9.333    3    -1.785    2.501    5.53    8.534    1.391    7.419    1.163    2.2    1.377    0.143    10.1021/acscatal.8b04478
CH_Ni_211_fcc-s    1.318    2.502    2.476    0.71    1.16    8.333    3    -1.236    1.755    4.945    7.64    1.157    8.821    1.231    1.91    1.903    0.169    10.1021/acscatal.8b04478
CH_Ni_211_four-fold-s    0.953    2.502    2.484    0.71    1.16    8.5    4    -1.225    1.768    4.945    7.64    1.157    8.817    1.232    1.91    1.796    0.169    10.1021/acscatal.8b04478
CH_Ni_211_hcp-s    1.202    2.502    2.47    0.71    1.16    7.667    3    -1.2    1.701    4.945    7.64    1.157    8.842    1.186    1.91    1.883    0.194    10.1021/acscatal.8b04478
CH_Ni_211_hcp-t    1.338    2.502    2.489    0.71    1.16    9.333    3    -1.28    1.837    4.945    7.64    1.157    8.791    1.292    1.91    1.847    0.136    10.1021/acscatal.8b04478
CH_Pd_211_bridge2-s    2.29    2.819    2.79    0.94    2.78    7.0    2    -1.5    1.244    5.21    8.337    0.562    9.334    0.682    2.2    2.15    0.15    10.1021/acscatal.8b04478
CH_Pd_211_fcc-s    1.464    2.819    2.803    0.94    2.78    8.333    3    -1.59    1.329    5.21    8.337    0.562    9.303    0.743    2.2    2.269    0.133    10.1021/acscatal.8b04478
CH_Pd_211_fcc-t    1.529    2.819    2.82    0.94    2.78    9.667    3    -1.715    1.405    5.21    8.337    0.562    9.265    0.804    2.2    2.178    0.115    10.1021/acscatal.8b04478
CH_Pd_211_four-fold-s    1.443    2.819    2.808    0.94    2.78    8.5    4    -1.628    1.333    5.21    8.337    0.562    9.293    0.751    2.2    2.125    0.13    10.1021/acscatal.8b04478
CH_Pd_211_hcp-s    1.439    2.819    2.796    0.94    2.78    7.667    3    -1.545    1.287    5.21    8.337    0.562    9.319    0.712    2.2    2.211    0.141    10.1021/acscatal.8b04478
CH_Pd_211_hcp-t    1.418    2.819    2.814    0.94    2.78    9.333    3    -1.677    1.386    5.21    8.337    0.562    9.276    0.789    2.2    2.252    0.12    10.1021/acscatal.8b04478
CH_Pd@Ir_211_bridge2-s-1    1.45    2.753    2.742    1.01    3.615    7.0    2    -1.915    2.013    5.462    8.729    1.063    8.502    1.017    2.2    1.179    0.218    10.1021/acscatal.8b04478
CH_Pd@Ir_211_bridge2-s-2    0.901    2.753    2.692    1.08    4.45    7.0    2    -1.717    2.428    5.462    9.121    1.564    7.798    1.203    2.2    1.659    0.262    10.1021/acscatal.8b04478
CH_Pd@Ir_211_fcc-s-1    1.228    2.753    2.747    1.033    3.893    8.333    3    -1.997    2.273    5.462    8.86    1.23    8.196    1.139    2.2    1.148    0.152    10.1021/acscatal.8b04478
CH_Pd@Ir_211_fcc-s-2    0.928    2.753    2.708    1.08    4.45    8.333    3    -1.881    2.611    5.462    9.121    1.564    7.715    1.264    2.2    1.446    0.175    10.1021/acscatal.8b04478
CH_Pd@Ir_211_fcc-t-1    1.066    2.753    2.741    1.08    4.45    9.667    3    -1.974    2.689    5.462    9.121    1.564    7.696    1.311    2.2    1.347    0.117    10.1021/acscatal.8b04478
CH_Pd@Ir_211_fcc-t-2    1.028    2.753    2.738    1.08    4.45    9.667    3    -2.002    2.753    5.462    9.121    1.564    7.677    1.317    2.2    1.302    0.108    10.1021/acscatal.8b04478
CH_Pd@Ir_211_four-fold-s-1    1.061    2.753    2.746    1.045    4.032    8.5    4    -1.954    2.371    5.462    8.925    1.314    8.1    1.169    2.2    1.257    0.161    10.1021/acscatal.8b04478
CH_Pd@Ir_211_four-fold-s-2    0.936    2.753    2.723    1.08    4.45    8.5    4    -1.863    2.581    5.462    9.121    1.564    7.743    1.265    2.2    1.479    0.182    10.1021/acscatal.8b04478
CH_Pd@Ir_211_hcp-s-1    0.953    2.753    2.736    1.033    3.893    7.667    3    -1.923    2.212    5.462    8.86    1.23    8.232    1.109    2.2    1.243    0.192    10.1021/acscatal.8b04478
CH_Pd@Ir_211_hcp-s-2    0.829    2.753    2.697    1.08    4.45    7.667    3    -1.806    2.55    5.462    9.121    1.564    7.751    1.234    2.2    1.541    0.215    10.1021/acscatal.8b04478
CH_Pd@Ir_211_hcp-t-1    0.811    2.753    2.732    1.08    4.45    9.333    3    -1.95    2.648    5.462    9.121    1.564    7.697    1.299    2.2    1.372    0.13    10.1021/acscatal.8b04478
CH_Pd@Ir_211_hcp-t-2    0.973    2.753    2.729    1.08    4.45    9.333    3    -1.978    2.712    5.462    9.121    1.564    7.678    1.305    2.2    1.326    0.121    10.1021/acscatal.8b04478
